,2021-01-03 18:00:00,1904.998,1910.898,1903.288,1909.718,0
0,2021-01-03 18:01:00,1909.728,1909.728,1907.298,1908.618,0
1,2021-01-03 18:02:00,1908.528,1910.408,1908.378,1910.238,0
2,2021-01-03 18:03:00,1910.258,1910.638,1909.808,1910.208,0
3,2021-01-03 18:04:00,1910.198,1910.488,1907.794,1908.85,0
4,2021-01-03 18:05:00,1908.878,1909.258,1908.228,1908.458,0
5,2021-01-03 18:06:00,1908.275,1909.088,1907.698,1908.498,0
6,2021-01-03 18:07:00,1908.498,1908.598,1908.128,1908.208,0
7,2021-01-03 18:08:00,1908.318,1908.458,1907.818,1907.878,0
8,2021-01-03 18:09:00,1907.988,1908.618,1907.618,1908.568,0
9,2021-01-03 18:10:00,1908.518,1908.648,1907.665,1908.068,0
10,2021-01-03 18:11:00,1908.085,1908.095,1907.718,1907.835,0
11,2021-01-03 18:12:00,1907.855,1908.868,1907.788,1907.995,0
12,2021-01-03 18:13:00,1907.985,1909.068,1907.835,1908.855,0
13,2021-01-03 18:14:00,1908.818,1909.405,1908.695,1908.805,0
14,2021-01-03 18:15:00,1908.785,1908.795,1907.978,1908.295,0
15,2021-01-03 18:16:00,1908.295,1908.688,1908.158,1908.688,0
16,2021-01-03 18:17:00,1908.695,1909.558,1908.578,1909.558,0
17,2021-01-03 18:18:00,1909.608,1909.678,1909.378,1909.668,0
18,2021-01-03 18:19:00,1909.618,1909.618,1909.238,1909.358,0
19,2021-01-03 18:20:00,1909.368,1909.978,1909.255,1909.905,0
20,2021-01-03 18:21:00,1909.825,1910.588,1909.695,1909.928,0
21,2021-01-03 18:22:00,1909.988,1909.988,1909.508,1909.658,0
22,2021-01-03 18:23:00,1909.648,1909.865,1909.258,1909.258,0
23,2021-01-03 18:24:00,1909.358,1909.358,1909.005,1909.048,0
24,2021-01-03 18:25:00,1909.148,1909.538,1909.148,1909.538,0
25,2021-01-03 18:26:00,1909.628,1909.758,1909.488,1909.488,0
26,2021-01-03 18:27:00,1909.458,1909.678,1909.358,1909.618,0
27,2021-01-03 18:28:00,1909.668,1910.258,1909.658,1910.258,0
28,2021-01-03 18:29:00,1910.408,1911.148,1910.138,1910.765,0
29,2021-01-03 18:30:00,1910.645,1911.285,1910.235,1911.158,0
30,2021-01-03 18:31:00,1911.055,1912.735,1911.055,1912.568,0
31,2021-01-03 18:32:00,1912.468,1913.085,1912.19,1912.845,0
32,2021-01-03 18:33:00,1912.825,1913.738,1912.718,1913.718,0
33,2021-01-03 18:34:00,1913.738,1914.658,1913.668,1914.458,0
