,2021-02-01 00:00:00,1860.267,1860.642,1859.892,1860.042,0
0,2021-02-01 00:01:00,1860.032,1860.542,1859.875,1860.542,0
1,2021-02-01 00:02:00,1860.495,1860.932,1860.495,1860.722,0
2,2021-02-01 00:03:00,1860.702,1860.802,1860.322,1860.331,0
3,2021-02-01 00:04:00,1860.334,1860.645,1860.078,1860.545,0
4,2021-02-01 00:05:00,1860.535,1860.772,1860.395,1860.762,0
5,2021-02-01 00:06:00,1860.782,1860.952,1860.742,1860.84,0
6,2021-02-01 00:07:00,1860.832,1860.952,1860.602,1860.945,0
7,2021-02-01 00:08:00,1860.948,1861.222,1860.873,1861.142,0
8,2021-02-01 00:09:00,1861.142,1861.251,1860.845,1861.175,0
9,2021-02-01 00:10:00,1861.175,1861.185,1860.825,1860.995,0
10,2021-02-01 00:11:00,1860.985,1861.713,1860.945,1861.651,0
11,2021-02-01 00:12:00,1861.652,1861.793,1861.452,1861.573,0
12,2021-02-01 00:13:00,1861.569,1861.57,1861.222,1861.346,0
13,2021-02-01 00:14:00,1861.36,1861.476,1861.178,1861.178,0
14,2021-02-01 00:15:00,1861.18,1861.298,1860.735,1860.791,0
15,2021-02-01 00:16:00,1860.778,1861.232,1860.753,1861.192,0
16,2021-02-01 00:17:00,1861.229,1861.232,1860.932,1860.992,0
17,2021-02-01 00:18:00,1860.935,1861.212,1860.872,1860.872,0
18,2021-02-01 00:19:00,1860.882,1860.882,1860.412,1860.472,0
19,2021-02-01 00:20:00,1860.482,1860.738,1860.482,1860.704,0
20,2021-02-01 00:21:00,1860.71,1861.147,1860.694,1860.905,0
21,2021-02-01 00:22:00,1860.915,1861.065,1860.855,1860.975,0
22,2021-02-01 00:23:00,1860.955,1861.105,1860.725,1861.105,0
23,2021-02-01 00:24:00,1861.115,1861.145,1860.915,1861.045,0
24,2021-02-01 00:25:00,1861.035,1861.035,1860.495,1860.625,0
25,2021-02-01 00:26:00,1860.625,1860.725,1860.378,1860.396,0
26,2021-02-01 00:27:00,1860.385,1860.652,1860.378,1860.442,0
27,2021-02-01 00:28:00,1860.444,1860.598,1860.378,1860.378,0
28,2021-02-01 00:29:00,1860.378,1860.432,1860.378,1860.378,0
29,2021-02-01 00:30:00,1860.378,1861.575,1860.378,1860.689,0
30,2021-02-01 00:31:00,1860.688,1861.185,1860.688,1860.795,0
31,2021-02-01 00:32:00,1860.802,1861.292,1860.775,1860.945,0
32,2021-02-01 00:33:00,1860.945,1861.165,1860.775,1861.055,0
33,2021-02-01 00:34:00,1861.091,1861.4,1861.075,1861.245,0
34,2021-02-01 00:35:00,1861.252,1861.519,1861.093,1861.322,0
35,2021-02-01 00:36:00,1861.342,1861.828,1861.342,1861.654,0
36,2021-02-01 00:37:00,1861.661,1861.852,1861.553,1861.765,0
37,2021-02-01 00:38:00,1861.745,1861.766,1861.415,1861.466,0
38,2021-02-01 00:39:00,1861.482,1861.491,1860.688,1860.745,0
39,2021-02-01 00:40:00,1860.715,1860.88,1860.688,1860.688,0
40,2021-02-01 00:41:00,1860.688,1860.688,1858.045,1858.335,0
41,2021-02-01 00:42:00,1858.335,1858.895,1857.525,1857.532,0
42,2021-02-01 00:43:00,1857.532,1858.164,1857.028,1857.715,0
43,2021-02-01 00:44:00,1857.725,1858.475,1857.615,1857.798,0
44,2021-02-01 00:45:00,1857.788,1858.615,1857.605,1858.125,0
45,2021-02-01 00:46:00,1858.179,1858.965,1858.147,1858.755,0
46,2021-02-01 00:47:00,1858.735,1859.215,1858.715,1858.855,0
47,2021-02-01 00:48:00,1858.905,1859.355,1858.255,1858.575,0
48,2021-02-01 00:49:00,1858.575,1858.585,1857.345,1857.399,0
49,2021-02-01 00:50:00,1857.385,1857.825,1856.985,1857.315,0
50,2021-02-01 00:51:00,1857.355,1858.205,1857.345,1857.825,0
51,2021-02-01 00:52:00,1857.845,1858.745,1857.665,1858.565,0
52,2021-02-01 00:53:00,1858.565,1859.015,1858.545,1858.845,0
53,2021-02-01 00:54:00,1858.845,1859.445,1858.695,1859.415,0
54,2021-02-01 00:55:00,1859.415,1859.995,1859.395,1859.875,0
55,2021-02-01 00:56:00,1859.875,1860.085,1859.815,1859.995,0
56,2021-02-01 00:57:00,1859.995,1860.215,1859.845,1859.975,0
57,2021-02-01 00:58:00,1859.975,1860.045,1859.358,1859.575,0
58,2021-02-01 00:59:00,1859.565,1859.735,1859.385,1859.695,0
59,2021-02-01 01:00:00,1859.695,1860.245,1859.655,1859.655,0
60,2021-02-01 01:01:00,1859.625,1859.735,1859.095,1859.165,0
61,2021-02-01 01:02:00,1859.175,1859.405,1859.165,1859.315,0
62,2021-02-01 01:03:00,1859.325,1859.325,1859.065,1859.215,0
63,2021-02-01 01:04:00,1859.225,1859.415,1859.225,1859.355,0
64,2021-02-01 01:05:00,1859.345,1859.895,1859.285,1859.845,0
65,2021-02-01 01:06:00,1859.835,1860.065,1859.695,1859.725,0
66,2021-02-01 01:07:00,1859.705,1859.925,1859.655,1859.815,0
67,2021-02-01 01:08:00,1859.815,1859.915,1859.605,1859.737,0
68,2021-02-01 01:09:00,1859.657,1860.125,1859.638,1860.035,0
69,2021-02-01 01:10:00,1860.055,1860.355,1859.995,1860.225,0
70,2021-02-01 01:11:00,1860.215,1860.435,1860.135,1860.435,0
71,2021-02-01 01:12:00,1860.445,1861.525,1860.425,1861.325,0
72,2021-02-01 01:13:00,1861.315,1862.385,1861.285,1862.385,0
73,2021-02-01 01:14:00,1862.385,1864.097,1862.335,1863.255,0
74,2021-02-01 01:15:00,1863.245,1863.285,1862.565,1862.565,0
75,2021-02-01 01:16:00,1862.645,1862.665,1862.145,1862.375,0
